time;model_id;model_name;port_name;data
203.116;1;blinky;;Status:, 1, sigma: 0.75
203.866;1;blinky;out;1
203.866;1;blinky;;Status:, 0, sigma: 0.75
204.616;1;blinky;out;0
204.616;1;blinky;;Status:, 1, sigma: 0.75
205.366;1;blinky;out;1
205.366;1;blinky;;Status:, 0, sigma: 0.75
206.116;1;blinky;out;0
206.116;1;blinky;;Status:, 1, sigma: 0.75
206.866;1;blinky;out;1
206.866;1;blinky;;Status:, 0, sigma: 0.75
207.616;1;blinky;out;0
207.616;1;blinky;;Status:, 1, sigma: 0.75
208.366;1;blinky;out;1
208.366;1;blinky;;Status:, 0, sigma: 0.75
209.116;1;blinky;out;0
209.116;1;blinky;;Status:, 1, sigma: 0.75
209.852;1;blinky;;Status:, 1, sigma: 3
209.852;2;generator;out;0
209.852;2;generator;;Status:, 0
212.852;1;blinky;out;1
212.852;1;blinky;;Status:, 0, sigma: 3
215.852;1;blinky;out;0
215.852;1;blinky;;Status:, 1, sigma: 3
218.852;1;blinky;out;1
218.852;1;blinky;;Status:, 0, sigma: 3
221.852;1;blinky;out;0
221.852;1;blinky;;Status:, 1, sigma: 3
224.852;1;blinky;out;1
224.852;1;blinky;;Status:, 0, sigma: 3
225.036;1;blinky;;Status:, 0, sigma: 0.75
225.036;2;generator;out;0
225.036;2;generator;;Status:, 0
225.786;1;blinky;out;0
225.786;1;blinky;;Status:, 1, sigma: 0.75
226.536;1;blinky;out;1
226.536;1;blinky;;Status:, 0, sigma: 0.75
227.286;1;blinky;out;0
227.286;1;blinky;;Status:, 1, sigma: 0.75
228.036;1;blinky;out;1
228.036;1;blinky;;Status:, 0, sigma: 0.75
228.786;1;blinky;out;0
228.786;1;blinky;;Status:, 1, sigma: 0.75
229.536;1;blinky;out;1
229.536;1;blinky;;Status:, 0, sigma: 0.75
230.286;1;blinky;out;0
230.286;1;blinky;;Status:, 1, sigma: 0.75
231.036;1;blinky;out;1
231.036;1;blinky;;Status:, 0, sigma: 0.75
231.786;1;blinky;out;0
231.786;1;blinky;;Status:, 1, sigma: 0.75
232.536;1;blinky;out;1
232.536;1;blinky;;Status:, 0, sigma: 0.75
233.286;1;blinky;out;0
233.286;1;blinky;;Status:, 1, sigma: 0.75
234.036;1;blinky;out;1
234.036;1;blinky;;Status:, 0, sigma: 0.75
234.786;1;blinky;out;0
234.786;1;blinky;;Status:, 1, sigma: 0.75
235.536;1;blinky;out;1
235.536;1;blinky;;Status:, 0, sigma: 0.75
236.286;1;blinky;out;0
236.286;1;blinky;;Status:, 1, sigma: 0.75
237.036;1;blinky;out;1
237.036;1;blinky;;Status:, 0, sigma: 0.75
237.786;1;blinky;out;0
237.786;1;blinky;;Status:, 1, sigma: 0.75
238.536;1;blinky;out;1
238.536;1;blinky;;Status:, 0, sigma: 0.75
239.286;1;blinky;out;0
239.286;1;blinky;;Status:, 1, sigma: 0.75
240.036;1;blinky;out;1
240.036;1;blinky;;Status:, 0, sigma: 0.75
240.786;1;blinky;out;0
240.786;1;blinky;;Status:, 1, sigma: 0.75
241.536;1;blinky;out;1
241.536;1;blinky;;Status:, 0, sigma: 0.75
242.286;1;blinky;out;0
